Iteration : 1
Evaluate Function
,Queen Row
population,column1,column2,column3,column4,column5,EvaluateFunc
population1,4,1,2,5,3,2
population2,4,2,1,3,5,2
population3,5,1,4,3,2,4
population4,3,2,5,4,1,4
population5,3,5,2,4,1,0
population6,3,2,4,1,5,2
Tournament
population1,3,2,5,4,1,4
population2,3,5,2,4,1,0
population3,3,5,2,4,1,0
population4,3,2,5,4,1,4
population5,5,1,4,3,2,4
population6,3,2,5,4,1,4
Single point crossover
population1,3,5,2,4,1,0
population2,3,2,5,4,1,4
population3,3,5,5,4,1,2
population4,3,2,2,4,1,2
population5,5,1,4,4,1,1
population6,3,2,5,3,2,3
OX crossover
population1,3,5,2,4,1,0
population2,3,2,5,4,1,4
population3,3,5,4,1,2,4
population4,3,2,4,1,5,2
population5,5,1,4,3,2,4
population6,3,2,5,4,1,4
Mutations
population1,3,5,1,4,2,2
population2,3,2,5,4,1,4
population3,3,5,4,1,2,4
population4,3,2,4,5,1,2
population5,1,5,4,3,2,6
population6,3,2,1,4,5,6

Iteration : 2
Evaluate Function
,Queen Row
population,column1,column2,column3,column4,column5,EvaluateFunc
population1,3,5,1,4,2,2
population2,3,2,5,4,1,4
population3,3,5,4,1,2,4
population4,3,2,4,5,1,2
population5,1,5,4,3,2,6
population6,3,2,1,4,5,6
Tournament
population1,3,5,1,4,2,2
population2,3,5,1,4,2,2
population3,3,2,1,4,5,6
population4,3,2,5,4,1,4
population5,3,2,1,4,5,6
population6,3,5,4,1,2,4
Single point crossover
population1,3,5,1,4,2,2
population2,3,5,1,4,2,2
population3,3,2,5,4,1,4
population4,3,2,1,4,5,6
population5,3,5,4,1,2,4
population6,3,2,1,4,5,6
OX crossover
population1,3,5,1,4,2,2
population2,3,5,1,4,2,2
population3,3,2,5,4,1,4
population4,3,2,1,4,5,6
population5,3,5,4,1,2,4
population6,3,2,1,4,5,6
Mutations
population1,3,4,1,5,2,2
population2,5,3,1,4,2,0
population3,3,2,5,1,4,2
population4,3,4,1,2,5,4
population5,4,5,3,1,2,4
population6,3,2,1,4,5,6

